#sn: G2-000-726 fw: ARMEN.230101.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,Sample,X        , Y          ,Mark,Status,GPSStat,GPSalt ,Time[ms]  ,Time[hhmmss.sss],PowerLn,Econd_425Hz   ,MSusc_425Hz   ,Econd_1525Hz  ,MSusc_1525Hz  ,Econd_5325Hz  ,MSusc_5325Hz  ,Econd_18325Hz ,MSusc_18325Hz ,Econd_63025Hz ,MSusc_63025Hz ,ECond    ,MSusc   ,I_425Hz       ,Q_425Hz       ,I_1525Hz      ,Q_1525Hz      ,I_5325Hz      ,Q_5325Hz      ,I_18325Hz     ,Q_18325Hz     ,I_63025Hz     ,Q_63025Hz     , QSum        ,ResLayer_01   ,ResLayer_02   ,ResLayer_03   ,ThiLayer_01   ,ThiLayer_02   ,FitError(%)
1,1,*           ,*           ,0,0,0,*       ,71480113.7,195120.1137,2.6,0.000417,0.034622,0.000115,0.001929,0.25059,0,0.048178,0,0.031782,0,0.0607,0.0098,-1.49E+03,-6.65E+02,-8.46E+01,-1.63E+03,2.15E+02,1.95E+03,7.11E+02,1.24E+03,4.36E+01,2.91E+03,8.39E+03,3.32E+01,3.68E+00,3.32E+01,2.70E+00,1.81E+00,4.75E+01
1,2,*           ,*           ,0,0,0,*       ,71480313.8,195120.3138,2.7,0.000417,0.036187,0.000115,0.005325,0.151821,0,0.048782,0,0.028646,0,0.0415,0.011,-1.56E+03,-8.89E+02,-2.33E+02,-1.77E+03,1.09E+03,1.08E+03,6.79E+02,1.26E+03,3.96E+02,2.57E+03,7.56E+03,3.32E+01,4.97E+00,3.32E+01,2.70E+00,2.21E+00,4.94E+01
1,3,*           ,*           ,0,0,0,*       ,71480513.7,195120.5137,2.5,0.000417,0.036739,0.000115,0.004782,0.267368,0,0.058097,0,0.028371,0,0.0651,0.011,-1.58E+03,-7.81E+02,-2.09E+02,-1.73E+03,7.22E+02,1.99E+03,7.58E+02,1.48E+03,8.60E+02,2.45E+03,8.44E+03,3.32E+01,3.68E+00,3.32E+01,2.70E+00,1.81E+00,4.88E+01
1,4,*           ,*           ,0,0,0,*       ,71480713.8,195120.7138,2.4,0.000417,0.034529,0.000245,0,0.222255,0,0.077827,0,0.033757,0,0.0606,0.0093,-1.49E+03,-6.07E+02,1.69E+02,-1.49E+03,1.92E+02,1.74E+03,1.11E+03,1.92E+03,8.58E+02,2.90E+03,8.65E+03,1.73E+01,3.87E+00,2.59E+01,3.64E+00,3.64E+00,4.14E+01
1,5,*           ,*           ,0,0,0,*       ,71480913.8,195120.9138,2.2,0.000418,0.033155,0.001035,0,0.186376,0,0.069074,0,0.025417,0,0.0512,0.009,-1.43E+03,-5.65E+02,2.41E+02,-1.27E+03,8.69E+02,1.36E+03,1.30E+03,1.66E+03,1.71E+01,2.35E+03,7.22E+03,1.73E+01,5.77E+00,3.49E+01,2.44E+00,4.45E+00,4.63E+01
1,6,*           ,*           ,0,0,0,*       ,71481113.7,195121.1137,2.2,0.000417,0.034117,0.000487,0,0.226129,0,0.054615,0,0.027052,0,0.0565,0.0092,-1.47E+03,-5.49E+02,2.04E+02,-1.40E+03,7.82E+02,1.67E+03,1.14E+03,1.34E+03,7.46E+02,2.36E+03,7.31E+03,1.82E+01,5.49E+00,3.32E+01,2.21E+00,4.03E+00,5.07E+01
1,7,*           ,*           ,0,0,0,*       ,71481313.8,195121.3138,2.2,0.000417,0.035253,0.000899,0,0.16557,0,0.055748,0,0.018672,0,0.044,0.0095,-1.52E+03,-5.00E+02,2.26E+02,-1.60E+03,2.98E+02,1.30E+03,3.09E+02,1.49E+03,3.47E+02,1.71E+03,6.60E+03,3.32E+01,4.07E+00,3.32E+01,2.70E+00,1.81E+00,4.20E+01
1,8,*           ,*           ,0,0,0,*       ,71481513.7,195121.5137,2.2,0.000417,0.035909,0.000967,0,0.167164,0,0.055002,0,0.03938,0.000757,0.0473,0.0098,-1.55E+03,-5.88E+02,2.82E+02,-1.89E+03,1.84E+02,1.33E+03,6.25E+02,1.43E+03,-3.32E+01,3.57E+03,8.80E+03,3.49E+01,3.87E+00,3.49E+01,2.98E+00,1.64E+00,3.84E+01
1,9,*           ,*           ,0,0,0,*       ,71481713.8,195121.7138,2.2,0.000417,0.034146,0.001263,0,0.231818,0,0.063466,0,0.031461,0,0.0599,0.0092,-1.47E+03,-5.92E+02,3.66E+02,-1.80E+03,8.17E+02,1.71E+03,1.03E+03,1.57E+03,4.76E+02,2.79E+03,8.46E+03,2.86E+01,4.72E+00,3.16E+01,2.44E+00,2.00E+00,4.40E+01
1,10,*           ,*           ,0,0,0,*       ,71481913.8,195121.9138,2.3,0.000418,0.032842,0.001356,0,0.2392,0,0.046981,0,0.026332,0,0.0578,0.0089,-1.42E+03,-5.92E+02,3.80E+02,-1.75E+03,1.35E+03,1.67E+03,1.08E+03,1.15E+03,5.49E+02,2.33E+03,7.49E+03,3.49E+01,3.87E+00,3.49E+01,2.98E+00,2.00E+00,4.91E+01
1,11,*           ,*           ,0,0,0,*       ,71482113.7,195122.1137,2.3,0.000417,0.037361,0.000448,0,0.21101,0,0.058991,0,0.043587,0.000188,0.0568,0.0101,-1.61E+03,-6.26E+02,2.01E+02,-1.51E+03,9.46E+02,1.54E+03,8.02E+02,1.50E+03,-8.26E+00,3.93E+03,9.10E+03,1.57E+01,6.38E+00,2.59E+01,2.44E+00,4.45E+00,4.75E+01
1,12,*           ,*           ,0,0,0,*       ,71482313.8,195122.3138,2.3,0.000416,0.037996,0.001049,0,0.131227,0,0.066959,0,0.046611,0,0.0435,0.0103,-1.64E+03,-6.37E+02,3.28E+02,-1.31E+03,7.23E+02,9.79E+02,1.34E+03,1.61E+03,1.88E+03,3.71E+03,8.25E+03,1.65E+01,5.49E+00,3.00E+01,2.70E+00,4.03E+00,4.32E+01
1,13,*           ,*           ,0,0,0,*       ,71482513.8,195122.5138,2.4,0.000417,0.034795,0.000115,0,0.124911,0,0.055002,0,0.017953,0,0.0358,0.0094,-1.50E+03,-6.12E+02,5.64E+01,-1.12E+03,8.17E+02,9.18E+02,1.03E+03,1.36E+03,1.75E+03,1.41E+03,5.43E+03,1.65E+01,6.07E+00,2.46E+01,2.70E+00,4.92E+00,4.29E+01
1,14,*           ,*           ,0,0,0,*       ,71482713.8,195122.7138,2.3,0.000417,0.035314,0.000115,0.002018,0.214397,0,0.064231,0,0.029754,0.011232,0.0562,0.0117,-1.52E+03,-6.99E+02,-8.85E+01,-1.29E+03,2.98E+02,1.66E+03,9.88E+02,1.60E+03,-4.90E+02,2.74E+03,8.00E+03,1.57E+01,6.38E+00,3.16E+01,2.44E+00,4.45E+00,4.55E+01
1,15,*           ,*           ,0,0,0,*       ,71482913.8,195122.9138,2.3,0.000417,0.037185,0.000114,0.001679,0.27114,0.002008,0.061859,0,0.034675,0.001321,0.0674,0.011,-1.60E+03,-9.16E+02,-7.37E+01,-1.76E+03,-8.81E+01,2.15E+03,1.33E+03,1.49E+03,-5.80E+01,3.17E+03,9.49E+03,3.32E+01,3.68E+00,3.32E+01,2.70E+00,1.81E+00,5.06E+01
1,16,*           ,*           ,0,0,0,*       ,71483113.8,195123.1138,2.3,0.000417,0.036249,0.000114,0.001591,0.170431,0,0.049311,0,0.035998,0,0.0462,0.0102,-1.56E+03,-7.58E+02,-6.98E+01,-1.85E+03,6.40E+02,1.28E+03,1.26E+03,1.19E+03,4.39E+02,3.18E+03,8.26E+03,3.49E+01,4.27E+00,3.49E+01,2.98E+00,2.00E+00,4.66E+01
1,17,*           ,*           ,0,0,0,*       ,71483313.8,195123.3138,2.3,0.000417,0.035998,0.000114,0,0.178757,0,0.052195,0,0.031129,0.000944,0.0476,0.0099,-1.55E+03,-7.13E+02,1.79E+01,-1.80E+03,6.51E+02,1.34E+03,8.52E+02,1.32E+03,-4.14E+01,2.86E+03,8.04E+03,3.49E+01,3.87E+00,3.49E+01,2.98E+00,1.64E+00,4.37E+01
1,18,*           ,*           ,0,0,0,*       ,71483513.8,195123.5138,2.3,0.000417,0.035068,0.000157,0,0.23856,0,0.06646,0,0.017086,0,0.0593,0.0095,-1.51E+03,-6.98E+02,1.11E+02,-1.55E+03,4.67E+02,1.82E+03,7.47E+02,1.70E+03,7.09E+02,1.51E+03,7.27E+03,3.32E+01,3.68E+00,3.32E+01,2.70E+00,1.81E+00,4.43E+01
